Species,Length,Weight
Alburnus mandrensis,19.2,NA
Alburnus mento,40,NA
Alburnus mentoides,13,NA
Alburnus mossulensis,16.6,NA
Alburnus nasreddini,9.81,NA
Alburnus neretvae,11.88,NA
Alburnus nicaeensis,14.55,NA
Alburnus orontis,9.1,NA
Alburnus qalilus,9.4,NA
Alburnus sarmaticus,25,NA
Alburnus sava,21.8,NA
Alburnus schischkovi,21,NA
Alburnus scoranza,17.9,47.4
Alburnus selcuklui,11.55,NA
Alburnus sellal,10.99,NA
Alburnus tarichi,20.2,NA
Alburnus thessalicus,15.5,30.2
Alburnus timarensis,10.8,NA
Alburnus vistonicus,21.7,NA
Alburnus volviticus,30,NA
Alburnus zagrosensis,12.97,NA
Alcichthys elongatus,44,1000
Alcockia rostrata,35,NA
Alcolapia alcalica,11.57,NA
Alcolapia grahami,20,NA
Alcolapia latilabris,6.19,NA
Alcolapia ndalalani,4.98,NA
Aldrichetta forsteri,50,950
Aldrovandia affinis,55,NA
Aldrovandia gracilis,55,NA
Aldrovandia mediorostris,43,NA
Aldrovandia oleosa,52,NA
Aldrovandia phalacra,50,NA
Aldrovandia rostrata,50.8,NA
Alectis alexandrina,100,3170
Alectis ciliaris,150,22900
Alectis indica,165,25000
Alectrias alectrolophus,10,NA
Alectrias benjamini,10,NA
Alectrias cirratus,10,NA
Alectrias gallinus,NA,NA
Alectrias markevichi,6.6,NA
Alectrias mutsuensis,8.2,NA
Alectridium aurantiacum,13.3,NA
Alepes apercna,29.5,NA
Alepes djedaba,40,124
Alepes kleinii,16,NA
Alepes melanoptera,25,NA
Alepes vari,56,NA
Alepidomus evermanni,3.3,NA
Alepisaurus brevirostris,96,NA
Alepisaurus ferox,215,9000
Alepocephalus agassizii,123,NA
Alepocephalus andersoni,NA,NA
Alepocephalus antipodianus,66.2,NA
Alepocephalus asperifrons,NA,NA
Alepocephalus australis,69,NA
Alepocephalus bairdii,100,NA
Alepocephalus bicolor,29,NA
Alepocephalus blanfordii,NA,NA
Alepocephalus dentifer,30.5,NA
Alepocephalus fundulus,18,NA
Alepocephalus longiceps,16,NA
Alepocephalus longirostris,41,NA
Alepocephalus melas,NA,NA
Alepocephalus owstoni,40,NA
Alepocephalus planifrons,NA,NA
Alepocephalus productus,41,NA
Alepocephalus rostratus,50,NA
Alepocephalus tenebrosus,61,NA
Alepocephalus triangularis,24,NA
Alepocephalus umbriceps,63,NA
Alertichthys blacki,NA,NA
Alestes ansorgii,27,NA
Alestes baremoze,43,500
Alestes dentex,55,600
Alestes inferus,9.43,NA
Alestes liebrechtsii,40,NA
Alestes macrophthalmus,60,NA
Alestes stuhlmannii,21,NA
Alestopetersius bifasciatus,5.7,NA
Alestopetersius brichardi,7.85,NA
Alestopetersius caudalis,6.2,NA
Alestopetersius compressus,7.75,NA
Alestopetersius conspectus,5.69,NA
Alestopetersius hilgendorfi,10,NA
Alestopetersius leopoldianus,9,NA
Alestopetersius nigropterus,6.45,NA
Alestopetersius smykalai,6,NA
Alestopetersius tumbensis,4.35,NA
Alfaro cultratus,7.5,NA
Alfaro huberi,5,NA
Algansea amecae,10.1,NA
Algansea aphanea,NA,NA
Algansea avia,NA,NA
Algansea barbata,NA,NA
Algansea lacustris,NA,NA
Algansea monticola,NA,NA
Algansea popoche,NA,NA
Algansea tincella,NA,NA
Alionematichthys ceylonensis,7.2,NA
Alionematichthys crassiceps,6.3,NA
Alionematichthys minyomma,7.79,NA
Alionematichthys phuketensis,3.6,NA
Alionematichthys piger,8.4,NA
Alionematichthys plicatosurculus,7.9,NA
Alionematichthys riukiuensis,7.87,NA
Alionematichthys samoaensis,5.4,NA
Alionematichthys shinoharai,3.4,NA
Alionematichthys suluensis,4.9,NA
Alionematichthys winterbottomi,8,NA
Allenbatrachus grunniens,30,NA
Allenbatrachus meridionalis,18.9,NA
Allenbatrachus reticulatus,11,NA
Allenichthys glauerti,19,NA
Allips concolor,NA,NA
Alloblennius anuchalis,2.39,NA
Alloblennius frondiculus,2.38,NA
Alloblennius jugularis,5,NA
Alloblennius parvus,2.6,NA
Alloblennius pictus,2.6,NA
Allocareproctus jordani,34,730
Allocareproctus kallaion,19.5,NA
Allocareproctus tanix,NA,NA
Allocareproctus unangas,NA,NA
Allocareproctus ungak,12.93,NA
Alloclinus holderi,10,NA
Allocyttus folletti,42,1300
Allocyttus guineensis,23.2,NA
Allocyttus niger,47,1500
Allocyttus verrucosus,42.5,2000
Allodontichthys hubbsi,6,NA
Allodontichthys polylepis,4.5,NA
Allodontichthys tamazulae,NA,NA
Allodontichthys zonistius,4.5,NA
Allomicrodesmus dorotheae,NA,NA
