county,Pop2010
"Seward County, KS",22952
"Shawnee County, KS",177934
"Sheridan County, KS",2556
"Sherman County, KS",6010
"Smith County, KS",3853
"Stafford County, KS",4437
"Stanton County, KS",2235
"Stevens County, KS",5724
"Sumner County, KS",24132
"Thomas County, KS",7900
"Trego County, KS",3001
"Wabaunsee County, KS",7053
"Wallace County, KS",1485
"Washington County, KS",5799
"Wichita County, KS",2234
"Wilson County, KS",9409
"Woodson County, KS",3309
"Wyandotte County, KS",157505
"Adair County, KY",18656
"Allen County, KY",19956
"Anderson County, KY",21421
"Ballard County, KY",8249
"Barren County, KY",42173
"Bath County, KY",11591
"Bell County, KY",28691
"Boone County, KY",118811
"Bourbon County, KY",19985
"Boyd County, KY",49542
"Boyle County, KY",28432
"Bracken County, KY",8488
"Breathitt County, KY",13878
"Breckinridge County, KY",20059
"Bullitt County, KY",74319
"Butler County, KY",12690
"Caldwell County, KY",12984
"Calloway County, KY",37191
"Campbell County, KY",90336
"Carlisle County, KY",5104
"Carroll County, KY",10811
"Carter County, KY",27720
"Casey County, KY",15955
"Christian County, KY",73955
"Clark County, KY",35613
"Clay County, KY",21730
"Clinton County, KY",10272
"Crittenden County, KY",9315
"Cumberland County, KY",6856
"Daviess County, KY",96656
"Edmonson County, KY",12161
"Elliott County, KY",7852
"Estill County, KY",14672
"Fayette County, KY",295803
"Fleming County, KY",14348
"Floyd County, KY",39451
"Franklin County, KY",49285
"Fulton County, KY",6813
"Gallatin County, KY",8589
"Garrard County, KY",16912
"Grant County, KY",24662
"Graves County, KY",37121
"Grayson County, KY",25746
"Green County, KY",11258
"Greenup County, KY",36910
"Hancock County, KY",8565
"Hardin County, KY",105543
"Harlan County, KY",29278
"Harrison County, KY",18846
"Hart County, KY",18199
"Henderson County, KY",46250
"Henry County, KY",15416
"Hickman County, KY",4902
"Hopkins County, KY",46920
"Jackson County, KY",13494
"Jefferson County, KY",741096
"Jessamine County, KY",48586
"Johnson County, KY",23356
"Kenton County, KY",159720
"Knott County, KY",16346
"Knox County, KY",31883
"Larue County, KY",14193
"Laurel County, KY",58849
"Lawrence County, KY",15860
"Lee County, KY",7887
"Leslie County, KY",11310
"Letcher County, KY",24519
